Model,Type,Term,N_Tokens,Subwords,Has_UNK
GTE-Large,general,Immunofluorescence,5,im | ##mun | ##of | ##lu | ##orescence,False
GTE-Large,general,Intermediary,3,inter | ##media | ##ry,False
GTE-Large,general,Irrelevant,1,irrelevant,False
GTE-Large,general,Ketosteroids,4,ke | ##tos | ##ter | ##oids,False
GTE-Large,general,Laughter,1,laughter,False
GTE-Large,general,Lissemys,4,li | ##sse | ##my | ##s,False
GTE-Large,general,Loxosceles,5,lo | ##x | ##os | ##cel | ##es,False
GTE-Large,general,Lycopersicon,5,l | ##y | ##cope | ##rs | ##icon,False
GTE-Large,general,Malaise,2,mala | ##ise,False
GTE-Large,general,Microrepair,4,micro | ##re | ##pa | ##ir,False
GTE-Large,general,Migratory,1,migratory,False
GTE-Large,general,Millipede,3,mill | ##ipe | ##de,False
GTE-Large,general,Mycitracin,4,my | ##cit | ##rac | ##in,False
GTE-Large,general,Myers,1,myers,False
GTE-Large,general,Notch,1,notch,False
GTE-Large,general,Notched,2,notch | ##ed,False
GTE-Large,general,Oligohidrosis,4,ol | ##igo | ##hid | ##rosis,False
GTE-Large,general,Paraduodenal,4,para | ##du | ##ode | ##nal,False
GTE-Large,general,Phosmet,3,ph | ##os | ##met,False
GTE-Large,general,Photogenic,2,photo | ##genic,False
GTE-Large,general,Pneumopyopericardium,9,p | ##ne | ##um | ##op | ##yo | ##per | ##ica | ##rdi | ##um,False
GTE-Large,general,Prague,1,prague,False
GTE-Large,general,Repeat,1,repeat,False
GTE-Large,general,Robin,1,robin,False
GTE-Large,general,Rowley,2,row | ##ley,False
GTE-Large,general,Rumination,2,rum | ##ination,False
GTE-Large,general,Sciaenops,4,sci | ##ae | ##no | ##ps,False
GTE-Large,general,Simultaneous,1,simultaneous,False
GTE-Large,general,Solandra,2,sol | ##andra,False
GTE-Large,general,Tamarao,2,tamara | ##o,False
GTE-Large,general,Theatrical,1,theatrical,False
GTE-Large,general,Thromboembolus,6,th | ##rom | ##bo | ##em | ##bol | ##us,False
GTE-Large,general,Trinitrotoluene,6,tri | ##ni | ##tro | ##to | ##lu | ##ene,False
GTE-Large,general,Underexerted,3,under | ##ex | ##erted,False
GTE-Large,general,Ventriculopleural,5,vent | ##ric | ##ulo | ##ple | ##ural,False
PubMedBERT,medical,Actinobacillus,3,actin | ##obac | ##illus,False
PubMedBERT,medical,Adenine,1,adenine,False
PubMedBERT,medical,Anisomelia,4,anis | ##ome | ##li | ##a,False
PubMedBERT,medical,Anterograde,1,anterograde,False
PubMedBERT,medical,Antifungal,1,antifungal,False
PubMedBERT,medical,Armorhead,4,arm | ##orh | ##ea | ##d,False
PubMedBERT,medical,Banner,2,ban | ##ner,False
PubMedBERT,medical,Boiron,3,bo | ##iro | ##n,False
PubMedBERT,medical,Bulrush,3,bul | ##ru | ##sh,False
PubMedBERT,medical,Calyptospora,4,cal | ##ypt | ##ospor | ##a,False
PubMedBERT,medical,Circinella,4,circ | ##ine | ##ll | ##a,False
PubMedBERT,medical,Clupeotoxin,4,cl | ##up | ##e | ##otoxin,False
PubMedBERT,medical,Colourful,2,colour | ##ful,False
PubMedBERT,medical,Corpus,1,corpus,False
PubMedBERT,medical,Cryptotomus,3,crypt | ##otom | ##us,False
PubMedBERT,medical,Cyclamate,2,cycl | ##amate,False
PubMedBERT,medical,Epicauta,3,epic | ##aut | ##a,False
PubMedBERT,medical,Ethylnorgestrienone,6,ethyl | ##no | ##r | ##gest | ##ri | ##enone,False
PubMedBERT,medical,Fibromuscular,2,fibrom | ##uscular,False
PubMedBERT,medical,Framboesiform,4,fram | ##bo | ##esi | ##form,False
PubMedBERT,medical,Glaucomatocyclitic,4,glaucoma | ##to | ##cycl | ##itic,False
PubMedBERT,medical,Haemoglobin,1,haemoglobin,False
PubMedBERT,medical,Healed,1,healed,False
PubMedBERT,medical,Hidradenitis,4,hid | ##rad | ##eni | ##tis,False
PubMedBERT,medical,Hyperactivity,1,hyperactivity,False
PubMedBERT,medical,Immunofluorescence,1,immunofluorescence,False
PubMedBERT,medical,Intermediary,2,intermedi | ##ary,False
PubMedBERT,medical,Irrelevant,1,irrelevant,False
PubMedBERT,medical,Ketosteroids,4,keto | ##st | ##ero | ##ids,False
PubMedBERT,medical,Laughter,2,la | ##ughter,False
PubMedBERT,medical,Lissemys,3,lis | ##sem | ##ys,False
PubMedBERT,medical,Loxosceles,3,lox | ##osc | ##eles,False
PubMedBERT,medical,Lycopersicon,3,lycop | ##ers | ##icon,False
PubMedBERT,medical,Malaise,3,mal | ##ai | ##se,False
PubMedBERT,medical,Microrepair,3,micror | ##ep | ##air,False
PubMedBERT,medical,Migratory,1,migratory,False
PubMedBERT,medical,Millipede,3,millip | ##ed | ##e,False
PubMedBERT,medical,Mycitracin,3,myc | ##itr | ##acin,False
PubMedBERT,medical,Myers,1,myers,False
PubMedBERT,medical,Notch,1,notch,False
PubMedBERT,medical,Notched,2,notch | ##ed,False
PubMedBERT,medical,Oligohidrosis,4,oligo | ##hi | ##dr | ##osis,False
PubMedBERT,medical,Paraduodenal,4,parad | ##uo | ##den | ##al,False
PubMedBERT,medical,Phosmet,3,pho | ##sm | ##et,False
PubMedBERT,medical,Photogenic,2,photo | ##genic,False
PubMedBERT,medical,Pneumopyopericardium,6,pneum | ##opy | ##oper | ##ica | ##rd | ##ium,False
PubMedBERT,medical,Prague,3,pra | ##gu | ##e,False
PubMedBERT,medical,Repeat,1,repeat,False
PubMedBERT,medical,Robin,2,rob | ##in,False
PubMedBERT,medical,Rowley,2,row | ##ley,False
PubMedBERT,medical,Rumination,1,rumination,False
PubMedBERT,medical,Sciaenops,4,sci | ##ae | ##no | ##ps,False
PubMedBERT,medical,Simultaneous,1,simultaneous,False
PubMedBERT,medical,Solandra,3,sol | ##and | ##ra,False
PubMedBERT,medical,Tamarao,3,tam | ##ara | ##o,False
PubMedBERT,medical,Theatrical,3,the | ##atric | ##al,False
PubMedBERT,medical,Thromboembolus,2,thromboemb | ##olus,False
PubMedBERT,medical,Trinitrotoluene,5,trin | ##itro | ##to | ##lu | ##ene,False
PubMedBERT,medical,Underexerted,4,under | ##ex | ##ert | ##ed,False
PubMedBERT,medical,Ventriculopleural,4,ventr | ##icul | ##ople | ##ural,False
